country_or_area,year,comm_code,commodity,flow,trade_usd,weight_kg,quantity_name,quantity,category
Philippines,2012,10290,"Bovine animals, live, except pure-bred breeding",Import,15157489,7148317.0,Number of items,18310.0,01_live_animals
Philippines,2012,10290,"Bovine animals, live, except pure-bred breeding",Export,765496,270588.0,Number of items,8814.0,01_live_animals
Philippines,2012,10310,"Swine, live pure-bred breeding",Import,379994,8742.0,Number of items,103.0,01_live_animals
Philippines,2012,10392,"Swine, live except pure-bred breeding > 50 kg",Import,105288,7292.0,Number of items,121.0,01_live_animals
Philippines,2012,10410,"Sheep, live",Import,385233,139142.0,Number of items,6322.0,01_live_animals
Philippines,2012,10420,"Goats, live",Import,163413,10185.0,Number of items,308.0,01_live_animals
Philippines,2012,10511,"Fowls, live domestic < 185 grams",Export,607701,14025.0,Number of items,198991.0,01_live_animals
Philippines,2012,10511,"Fowls, live domestic < 185 grams",Import,7444314,50055.0,Number of items,819793.0,01_live_animals
Philippines,2012,10519,"Poultry, live except domestic fowls, < 185 grams",Import,3787,100.0,Number of items,1300.0,01_live_animals
Philippines,2012,10591,"Fowls, live domestic > 185 grams",Export,3305,528.0,Number of items,218.0,01_live_animals
Philippines,2012,10591,"Fowls, live domestic > 185 grams",Import,844051,13533.0,Number of items,6905.0,01_live_animals
Philippines,2012,10600,"Animals, live, except farm animals",Export,8892395,657956.0,Number of items,1142593.0,01_live_animals
Philippines,2012,10600,"Animals, live, except farm animals",Import,80239,3413.0,Number of items,3382.0,01_live_animals
Philippines,2011,10111,"Horses, live pure-bred breeding",Import,562654,53728.0,Number of items,134.0,01_live_animals
Philippines,2011,10119,"Horses, live except pure-bred breeding",Import,88851,6240.0,Number of items,9.0,01_live_animals
Philippines,2011,10210,"Bovine animals, live pure-bred breeding",Import,1081736,770000.0,Number of items,2200.0,01_live_animals
Philippines,2011,10290,"Bovine animals, live, except pure-bred breeding",Import,10012062,5069414.0,Number of items,13291.0,01_live_animals
Philippines,2011,10310,"Swine, live pure-bred breeding",Import,1270517,47139.0,Number of items,987.0,01_live_animals
Philippines,2011,10420,"Goats, live",Import,304031,19170.0,Number of items,410.0,01_live_animals
Philippines,2011,10511,"Fowls, live domestic < 185 grams",Export,2904479,71133.0,Number of items,929704.0,01_live_animals
Philippines,2011,10511,"Fowls, live domestic < 185 grams",Import,3686898,26090.0,Number of items,459139.0,01_live_animals
Philippines,2011,10519,"Poultry, live except domestic fowls, < 185 grams",Import,6501,63.0,Number of items,630.0,01_live_animals
Philippines,2011,10591,"Fowls, live domestic > 185 grams",Export,1280,389.0,Number of items,83.0,01_live_animals
Philippines,2011,10591,"Fowls, live domestic > 185 grams",Import,1214938,20573.0,Number of items,10368.0,01_live_animals
Philippines,2011,10600,"Animals, live, except farm animals",Export,2899597,78542.0,Number of items,921911.0,01_live_animals
Philippines,2011,10600,"Animals, live, except farm animals",Import,105407,5881.0,Number of items,2295.0,01_live_animals
Philippines,2010,10111,"Horses, live pure-bred breeding",Import,435908,46000.0,No Quantity,,01_live_animals
Philippines,2010,10119,"Horses, live except pure-bred breeding",Import,61199,5757.0,No Quantity,,01_live_animals
Philippines,2010,10290,"Bovine animals, live, except pure-bred breeding",Import,8737828,1358653.0,Number of items,10994.0,01_live_animals
Philippines,2010,10310,"Swine, live pure-bred breeding",Import,313172,12160.0,Number of items,418.0,01_live_animals
Philippines,2010,10391,"Swine, live except pure-bred breeding < 50 kg",Import,9523,360.0,No Quantity,,01_live_animals
Philippines,2010,10420,"Goats, live",Import,294028,56971.0,Number of items,4524.0,01_live_animals
Philippines,2010,10511,"Fowls, live domestic < 185 grams",Export,940992,18782.0,Number of items,297474.0,01_live_animals
Philippines,2010,10511,"Fowls, live domestic < 185 grams",Import,5592931,38060.0,Number of items,1623630.0,01_live_animals
Philippines,2010,10519,"Poultry, live except domestic fowls, < 185 grams",Import,2931,40.0,Number of items,658.0,01_live_animals
Philippines,2010,10591,"Fowls, live domestic > 185 grams",Export,9759,529.0,No Quantity,,01_live_animals
Philippines,2010,10591,"Fowls, live domestic > 185 grams",Import,1595486,29264.0,No Quantity,,01_live_animals
Philippines,2010,10600,"Animals, live, except farm animals",Import,48526,1471.0,No Quantity,,01_live_animals
Philippines,2010,10600,"Animals, live, except farm animals",Export,4064733,26182.0,Number of items,1399.0,01_live_animals
